name,address,price,score,foods,recomment,pic
老灶味道·本帮菜(昌平路店),昌平路888号-7底层、2楼204、206-207室,￥111,5.0,"本帮菜, 江浙菜",3,https://dimg04.c-ctrip.com/images/01059120008y0guz8F14A_R_220_140.jpg
巷鼎火锅(解放碑店),解放碑解放东路407号附5号,￥103,5.0,"火锅, 川味/重庆火锅",1,https://dimg04.c-ctrip.com/images/01033120008xzbgft6831_R_220_140.jpg
太二酸菜鱼(北京路天河城店),北京路168号北京路天河城六层自编A605号铺,￥102,5.0,"酸菜鱼/水煮鱼, 川菜",13,https://dimg04.c-ctrip.com/images/01070120008sd6wii1BC4_R_220_140.jpg
重庆矮板凳老火锅(鹭洲里店),天府二街建发鹭洲里B区6栋4楼410号,￥92,5.0,"火锅, 川味/重庆火锅, 重庆火锅",3,https://dimg04.c-ctrip.com/images/1mh4312000f35dxjg3081_R_220_140.jpg
壹零贰鸡尾酒精酿餐酒吧,大石坝红盛路东原D7三期六栋UG层（东原中心写字楼正对面，上岛咖啡同位置UG层）,￥50,5.0,"川菜, 烤鱼, 酒吧/酒馆",7,https://dimg04.c-ctrip.com/images/0104b120008wt22zi73F0_R_220_140.jpg
李记湛光蚝莊(华强北八店),福星路141-1号,￥100,5.0,"烤串, 烧烤",4,https://dimg04.c-ctrip.com/images/1me3112000ehaolx6644E_R_220_140.jpg
天府谭鱼头(总店),一环路西二段13号地铁青羊宫站D出口,￥79,5.0,"鱼火锅, 火锅",2,https://dimg04.c-ctrip.com/images/01A2612000af301hoFB4F_R_220_140.jpg
俏牛哥鲜牛肉牛肆馆(重庆天地店),瑞天路重庆天地12栋2楼-3楼,￥99,5.0,"火锅, 其他火锅",5,https://dimg04.c-ctrip.com/images/0101r12000957y6o18DB4_R_220_140.jpg
海底捞火锅(楚河汉街店),湖北省武汉市武昌区武汉中央文化旅游区楚河汉街J4地块第三街区3-4栋一层、五层,￥118,5.0,"川味/重庆火锅, 川味火锅, 火锅",2,https://dimg04.c-ctrip.com/images/0100p12000as68ihsA0C2_R_220_140.jpg
白金汉爵·哪吒捞海·海鲜火锅,玄武大道888号白金汉爵酒店内,￥84,5.0,"海鲜, 火锅",1,https://dimg04.c-ctrip.com/images/0101412000buhxh26E446_R_220_140.jpg
老新隆牛肉锅贴(平江府路店),夫子庙平江府路贡院街88号（地铁3号线2号口直走100米）,￥31,5.0,"小吃, 快餐简餐, 中式快餐, 面食, 其他小吃, 锅贴",7,https://dimg04.c-ctrip.com/images/1me2z12000caj3s0d751A_R_220_140.jpg
五斗柴火锅(外双楠店),晋吉南路36号1栋1层1号,￥102,5.0,"火锅, 川味/重庆火锅, 重庆火锅",13,https://dimg04.c-ctrip.com/images/01A3k120009dt64qp1C68_R_220_140.jpg
星巴克臻选(西安迈科中心店),锦业路12号迈科中心一层,￥42,5.0,咖啡店,2,https://dimg04.c-ctrip.com/images/01A4t120008yc82m10B7C_R_220_140.jpg
希弗海南私房菜·音乐餐吧(亚龙...,海南省三亚市吉阳区吉阳镇博后村委会新坡一组54号,未知价格,5.0,"其他, 私房菜",91,https://dimg04.c-ctrip.com/images/1me3712000bjro0al12B5_R_220_140.jpg
谭厨中山传家菜(红岭店),红岭中路1008号荔景大厦1楼（近红宝路口）,￥137,5.0,粤菜,3,https://dimg04.c-ctrip.com/images/0103g12000fme16b70C27_R_220_140.jpg
J CAFE(栖霞古镇店),栖霞街栖霞山牌坊进去直走200米,未知价格,5.0,咖啡店,5,https://dimg04.c-ctrip.com/images/0103j12000d2dmyj514B9_R_220_140.jpg
临江影·本味淮扬(滨江外滩店),南通路118号世茂茂悦港2号楼4楼（近世茂滨江希尔顿）,￥198,5.0,"江浙菜, 淮扬菜",6,https://dimg04.c-ctrip.com/images/1tx0g12000izfjl8rCE84_R_220_140.jpg
酸姐姐(太平路店),太平路19号,￥15,5.0,"小吃, 面食",4,https://dimg04.c-ctrip.com/images/0101812000e4fgrei102F_R_220_140.jpg
大壮牛腩煲(金山店),协盛中心一楼（协盛大厦入口处）,未知价格,5.0,闽菜,10,https://dimg04.c-ctrip.com/images/1me2d12000fr9xfjd7867_R_220_140.jpg
麻嫂天府米线·笼笼肉夹馍(更新...,陕西省西安市碑林区更新街南口8号楼,￥15,5.0,"小吃, 米粉/米线, 米粉, 米线",2,https://dimg04.c-ctrip.com/images/1me5112000bvnnk97535F_R_220_140.jpg
